feature,importance
packet_length_std,0.34278926
average_packet_size,0.20798425
avg_bwd_segment_size,0.094614506
packet_length_variance,0.06422322
max_packet_length,0.042501617
total_byte_rate,0.029840669
packet_asymmetry_ratio,0.026134888
flow_iat_std,0.022942923
avg_fwd_segment_size,0.017095651
psh_flag_count,0.016848551
act_data_pkt_fwd,0.011173684
packet_size_variability,0.011144998
downup_ratio,0.010909651
active_std,0.009628574
backward_packet_rate,0.009363265
ack_flag_count,0.008148169
min_seg_size_forward,0.008119882
idle_mean,0.0076115998
packet_length_mean,0.0075047896
init_win_bytes_backward,0.006664685
flow_iat_variability,0.00611756
byte_asymmetry_ratio,0.0055782236
idle_active_ratio,0.0053355615
syn_flag_count,0.0046874844
init_win_bytes_forward,0.004416663
flow_iat_mean,0.003578608
min_packet_length,0.0023881707
total_tcp_flag_activity,0.002288829
active_mean,0.002270168
flow_iat_min,0.0014943758
idle_std,0.0014419386
fin_flag_count,0.0013456731
flow_duration,0.0012027055
total_packet_rate,0.0011238678
forward_packet_rate,0.0007861969
flow_iat_max,0.00069910404
rst_syn_ratio,0.0
rst_flag_count,0.0
